Rank	Feature	Informazione Mutua
1	directories_2355	0.345737
2	head_627	0.335781
3	directories_2356	0.328829
4	section_837	0.313086
5	gen_617	0.312037
6	section_787	0.277926
7	byte_510	0.273623
8	head_686	0.271216
9	byte_512	0.270435
10	byte_511	0.269922
11	byte_499	0.269622
12	byte_497	0.269401
13	byte_504	0.268321
14	byte_509	0.268286
15	byte_502	0.267794
16	byte_503	0.267058
17	byte_501	0.266825
18	byte_500	0.266570
19	hist_140	0.266531
20	byte_508	0.266061
21	byte_506	0.264973
22	byte_507	0.264226
23	hist_138	0.263608
24	hist_175	0.262550
25	byte_498	0.262343
26	byte_505	0.261867
27	hist_233	0.261586
28	hist_232	0.260999
29	hist_117	0.260912
30	byte_473	0.260505
31	hist_172	0.260070
32	hist_144	0.259714
33	hist_2	0.259322
34	hist_142	0.257591
35	hist_167	0.257544
36	string_522	0.256303
37	string_612	0.255340
38	byte_402	0.254825
39	byte_477	0.254373
40	string_521	0.254111
41	byte_492	0.254067
42	hist_159	0.253915
43	hist_171	0.253647
44	byte_469	0.253457
45	byte_408	0.253359
46	hist_170	0.253101
47	hist_1	0.253014
48	hist_106	0.252699
49	string_513	0.252311
50	hist_192	0.251802
51	string_514	0.251408
52	hist_193	0.251347
53	hist_5	0.251173
54	hist_174	0.250867
55	string_589	0.250849
56	byte_404	0.250845
57	hist_188	0.250751
58	byte_465	0.250535
59	byte_466	0.250079
60	hist_128	0.250005
61	byte_412	0.249563
62	byte_414	0.249282
63	byte_489	0.249023
64	byte_407	0.249020
65	byte_401	0.248996
66	hist_132	0.248885
67	byte_423	0.248724
68	byte_479	0.248416
69	hist_112	0.248217
70	hist_239	0.248119
71	byte_467	0.247980
72	hist_240	0.247922
73	hist_160	0.247531
74	hist_224	0.247271
75	hist_98	0.247164
76	hist_189	0.247120
77	byte_468	0.246912
78	hist_231	0.246896
79	byte_403	0.246819
80	hist_115	0.246741
81	hist_215	0.246736
82	hist_226	0.246695
83	byte_417	0.246496
84	hist_111	0.246474
85	gen_621	0.246425
86	byte_453	0.246416
87	byte_405	0.246246
88	hist_107	0.246065
89	hist_154	0.245875
90	hist_216	0.245816
91	byte_495	0.245803
92	string_573	0.245603
93	byte_411	0.245308
94	string_548	0.245190
95	byte_493	0.245161
96	byte_494	0.245150
97	hist_180	0.244939
98	hist_227	0.244865
99	byte_450	0.244423
100	hist_168	0.244332
101	hist_178	0.243960
102	hist_6	0.243913
103	string_517	0.243861
104	byte_424	0.243851
105	hist_136	0.243723
106	hist_139	0.243299
107	byte_433	0.243216
108	byte_491	0.243112
109	hist_27	0.242938
110	string_515	0.242896
111	hist_124	0.242756
112	byte_409	0.242592
113	byte_457	0.242395
114	hist_256	0.242271
115	byte_472	0.242118
116	hist_116	0.241841
117	byte_406	0.241830
118	hist_147	0.241790
119	byte_486	0.241749
120	byte_419	0.241703
121	gen_618	0.241385
122	byte_476	0.241306
123	byte_415	0.241203
124	hist_156	0.241129
125	string_594	0.241040
126	hist_191	0.240968
127	hist_190	0.240855
128	hist_143	0.240844
129	byte_480	0.240726
130	hist_151	0.240569
131	string_565	0.240487
132	hist_163	0.240280
